,GameID,EnteredDateTimeUTC,EnteredDateTimeET,AwayTeam,HomeTeam,DoubleHeaderGame,AwayStartingPitcher,HomeStartingPicher,FinalScoreAway,FinalScoreHome
611,PIT201605200,2016-05-19 11:54,2016-05-19 7:54,Colorado Rockies,Pittsburgh Pirates,0,e butler,G COLE,1,2
612,BOS201605200,2016-05-19 11:55,2016-05-19 7:55,Cleveland Indians,Boston Red Sox,0,c kluber,C BUCHHOLZ,4,2
613,NYN201605200,2016-05-19 11:54,2016-05-19 7:54,Milwaukee Brewers,New York Mets,0,w peralta,S MATZ,2,3
614,CIN201605200,2016-05-19 11:56,2016-05-19 7:56,Seattle Mariners,Cincinnati Reds,0,h iwakuma,D STRAILY,8,3
615,DET201605200,2016-05-19 11:55,2016-05-19 7:55,Tampa Bay Rays,Detroit Tigers,0,m andriese,A SANCHEZ,7,5
616,MIA201605200,2016-05-19 11:54,2016-05-19 7:54,Washington Nationals,Miami Marlins,0,t roark,J NICOLINO,4,1
617,CHA201605200,2016-05-19 11:55,2016-05-19 7:55,Kansas City Royals,Chicago White Sox,0,d gee,J QUINTANA,4,1
618,HOU201605200,2016-05-19 11:55,2016-05-19 7:55,Texas Rangers,Houston Astros,0,c lewis,L MCCULLERS,2,1
619,MIN201605200,2016-05-19 11:55,2016-05-19 7:55,Toronto Blue Jays,Minnesota Twins,0,a sanchez,T DUFFEY,9,3
620,SLN201605200,2016-05-19 11:54,2016-05-19 7:54,Arizona Diamondbacks,St. Louis Cardinals,0,p corbin,C MARTINEZ,11,7
621,OAK201605200,2016-05-19 11:55,2016-05-19 7:55,New York Yankees,Oakland Athletics,0,c sabathia,S GRAY,8,3
622,ANA201605200,2016-05-19 11:55,2016-05-19 7:55,Baltimore Orioles,Los Angeles Angels of Anaheim,0,m wright,H SANTIAGO,9,4
623,SFN201605200,2016-05-19 11:54,2016-05-19 7:54,Chicago Cubs,San Francisco Giants,0,j arrieta,J PEAVY,8,1
